Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"19/10/20, 10:52",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the course with id '7101'.,web,144.82.9.4
"19/10/20, 10:51",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762573' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.9.169
"19/10/20, 10:50",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762573' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.9.169
"19/10/20, 10:50",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.169
"19/10/20, 10:46",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762427' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:46",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:45",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the section number '5' of the course with id '7101'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the course with id '7101'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,Fourth Student,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '762427' updated the completion state for the course module with id '2421700' for the user with id '762427'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,Fourth Student,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '762427' updated the completion state for the course module with id '2421700' for the user with id '762427'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:34",Some Instructor,-,File: Tutorial Solutions for Week 3,File,Course module viewed,The user with id '26152' viewed the 'resource' activity with course module id '826323'.,web,144.82.8.58
"19/10/20, 10:34",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:33",Some Instructor,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '26152' viewed the 'resource' activity with course module id '117363'.,web,144.82.8.58
"19/10/20, 10:29",Some Instructor,-,Forum (Advanced): Discussion Forum,Forum (Advanced),Course module viewed,The user with id '26152' viewed the 'hsuforum' activity with course module id '832587'.,web,144.82.8.58
"19/10/20, 10:26",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:26",Some Instructor,-,File: Tutorial Exercises for Week 3,File,Course module viewed,The user with id '26152' viewed the 'resource' activity with course module id '117356'.,web,144.82.8.58
"19/10/20, 10:26",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:26",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '15' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:25",Some Instructor,-,Blackboard Collaborate Ultra: Test session,Blackboard Collaborate Ultra,Collab session launched,The user with id '26152' launched the session with id 'b2b19c1f8bee4850a08ea01270231711' for the Collab with course module id '2340243'.,web,144.82.8.58
"19/10/20, 10:25",Some Instructor,-,Blackboard Collaborate Ultra: Test session,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2340243'.,web,144.82.8.58
"19/10/20, 10:25",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '15' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:25",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the course with id '7101'.,web,144.82.8.58
